,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
0,1960,0.417,0.62,3,-7.727,1,0.0403,0.49,0.0,0.0779,0.845,185.655,173533,3,32.94975,9,1
1,1960,0.498,0.505,3,-12.475,1,0.0337,0.018,0.107,0.176,0.797,101.801,213613,4,48.8251,10,0
2,1960,0.657,0.649,5,-13.392,1,0.038,0.846,4.42e-06,0.119,0.908,115.94,223960,4,37.22663,12,0
3,1960,0.59,0.545,7,-12.058,0,0.104,0.706,0.0246,0.061,0.967,105.592,157907,4,24.75484,8,0
4,1960,0.515,0.765,11,-3.515,0,0.124,0.857,0.000872,0.213,0.906,114.617,245600,4,21.79874,14,0
5,1960,0.697,0.673,0,-10.573,1,0.0266,0.714,0.919,0.122,0.778,112.117,167667,4,65.48604,7,0
6,1960,0.662,0.272,0,-18.883,1,0.0313,0.36,0.228,0.0963,0.591,143.507,134360,4,47.82155,7,0
7,1960,0.72,0.624,5,-9.086,0,0.0473,0.795,0.0,0.488,0.887,119.999,160040,4,30.42891,8,1
8,1960,0.545,0.22,2,-15.079,0,0.0828,0.582,0.239,0.269,0.386,118.223,158413,4,47.08099,6,0
9,1960,0.511,0.603,2,-7.637,1,0.028,0.0385,1.67e-06,0.142,0.685,128.336,157293,4,43.36534,9,1
10,1960,0.491,0.0675,10,-17.096,1,0.0606,0.826,0.519,0.134,0.122,124.986,177387,4,35.90329,7,0
11,1960,0.52,0.411,9,-12.411,1,0.0315,0.786,0.0012,0.146,0.35,120.29,207573,4,37.54527,9,1
12,1960,0.717,0.565,2,-8.606,0,0.0283,0.451,0.0,0.108,0.961,100.757,134507,4,49.41165,6,0
13,1960,0.746,0.666,2,-10.408,1,0.146,0.543,0.0,0.0488,0.84,94.024,192427,4,78.59848,5,1
14,1960,0.598,0.448,4,-14.978,0,0.0399,0.832,0.471,0.588,0.832,124.875,169133,4,57.17076,8,1
15,1960,0.521,0.396,5,-12.299,1,0.0463,0.576,0.000893,0.462,0.599,82.628,179600,4,48.36482,8,0
16,1960,0.356,0.45,6,-6.677,1,0.03,0.924,0.000206,0.128,0.313,74.4,172453,4,18.25243,13,1
17,1960,0.493,0.666,11,-8.209,1,0.0967,0.041,4.42e-05,0.351,0.519,123.446,357747,4,90.21302,14,0
18,1960,0.147,0.246,1,-16.997,1,0.0504,0.964,0.115,0.113,0.0387,74.94,464533,4,76.04885,18,0
19,1960,0.502,0.445,1,-9.562,1,0.0688,0.481,0.0,0.0823,0.939,140.988,145653,4,18.90465,6,1
20,1960,0.48,0.225,3,-15.402,1,0.031,0.78,0.0,0.0877,0.58,128.017,217907,4,25.38117,13,1
