,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target,decade
0,0.417,0.62,3,-7.727,1,0.0403,0.49,0.0,0.0779,0.845,185.655,173533,3,1,60
1,0.498,0.505,3,-12.475,1,0.0337,0.018,0.107,0.176,0.797,101.801,213613,4,0,60
2,0.657,0.649,5,-13.392,1,0.038,0.846,4.42e-06,0.119,0.908,115.94,223960,4,0,60
3,0.59,0.545,7,-12.058,0,0.104,0.706,0.0246,0.061,0.967,105.592,157907,4,0,60
4,0.515,0.765,11,-3.515,0,0.124,0.857,0.000872,0.213,0.906,114.617,245600,4,0,60
5,0.697,0.673,0,-10.573,1,0.0266,0.714,0.919,0.122,0.778,112.117,167667,4,0,60
6,0.662,0.272,0,-18.883,1,0.0313,0.36,0.228,0.0963,0.591,143.507,134360,4,0,60
7,0.72,0.624,5,-9.086,0,0.0473,0.795,0.0,0.488,0.887,119.999,160040,4,1,60
8,0.545,0.22,2,-15.079,0,0.0828,0.582,0.239,0.269,0.386,118.223,158413,4,0,60
9,0.511,0.603,2,-7.637,1,0.028,0.0385,1.67e-06,0.142,0.685,128.336,157293,4,1,60
10,0.491,0.0675,10,-17.096,1,0.0606,0.826,0.519,0.134,0.122,124.986,177387,4,0,60
11,0.52,0.411,9,-12.411,1,0.0315,0.786,0.0012,0.146,0.35,120.29,207573,4,1,60
12,0.717,0.565,2,-8.606,0,0.0283,0.451,0.0,0.108,0.961,100.757,134507,4,0,60
13,0.746,0.666,2,-10.408,1,0.146,0.543,0.0,0.0488,0.84,94.024,192427,4,1,60
14,0.598,0.448,4,-14.978,0,0.0399,0.832,0.471,0.588,0.832,124.875,169133,4,1,60
15,0.521,0.396,5,-12.299,1,0.0463,0.576,0.000893,0.462,0.599,82.628,179600,4,0,60
16,0.356,0.45,6,-6.677,1,0.03,0.924,0.000206,0.128,0.313,74.4,172453,4,1,60
17,0.493,0.666,11,-8.209,1,0.0967,0.041,4.42e-05,0.351,0.519,123.446,357747,4,0,60
18,0.147,0.246,1,-16.997,1,0.0504,0.964,0.115,0.113,0.0387,74.94,464533,4,0,60
19,0.502,0.445,1,-9.562,1,0.0688,0.481,0.0,0.0823,0.939,140.988,145653,4,1,60
20,0.48,0.225,3,-15.402,1,0.031,0.78,0.0,0.0877,0.58,128.017,217907,4,1,60
21,0.604,0.357,6,-11.419,1,0.0269,0.0311,0.0,0.0927,0.638,100.721,185293,4,1,60
22,0.213,0.0581,8,-22.425,0,0.0487,0.982,0.69,0.167,0.0395,84.048,175453,4,0,60
23,0.427,0.14,9,-19.857,0,0.034,0.549,1.03e-06,0.0443,0.293,137.787,207293,4,0,60
24,0.26,0.0248,4,-24.431,0,0.0421,0.979,0.000378,0.228,0.0371,105.846,335867,4,0,60
25,0.81,0.524,7,-9.77,0,0.0339,0.77,1.03e-05,0.161,0.949,130.214,153093,4,1,60
26,0.498,0.527,5,-9.263,1,0.0298,0.0789,0.0,0.571,0.868,123.042,158267,4,1,60
27,0.844,0.299,0,-12.645,1,0.0621,0.848,0.844,0.102,0.566,102.088,131176,4,1,60
28,0.463,0.463,8,-12.178,1,0.0349,0.616,0.00157,0.584,0.811,109.603,69827,4,0,60
29,0.431,0.551,1,-12.732,1,0.0526,0.885,0.875,0.128,0.64,79.14,219240,4,0,60
30,0.515,0.699,0,-7.316,0,0.0483,0.657,0.0,0.154,0.783,111.28,175400,4,1,60
31,0.528,0.493,0,-12.346,1,0.0298,0.414,0.0,0.674,0.888,118.575,156507,4,0,60
32,0.357,0.216,3,-12.833,1,0.0343,0.767,4.31e-06,0.531,0.283,119.57,222733,4,1,60
33,0.283,0.0811,11,-20.653,1,0.047,0.982,0.771,0.0897,0.0797,88.961,236080,4,0,60
34,0.56,0.821,7,-4.09,1,0.0313,0.0853,0.000215,0.0592,0.793,117.568,148560,4,0,60
35,0.337,0.172,0,-16.735,1,0.031,0.784,0.000454,0.102,0.106,97.055,131587,4,0,60
36,0.565,0.358,0,-8.442,0,0.0259,0.579,0.0,0.198,0.535,100.826,155307,4,0,60
37,0.743,0.398,2,-8.328,0,0.048,0.808,0.0,0.106,0.833,118.568,170827,4,1,60
38,0.555,0.658,0,-4.487,1,0.0445,0.164,0.0,0.0363,0.44,120.911,77907,4,0,60
39,0.519,0.422,4,-8.732,1,0.0282,0.864,0.0,0.332,0.803,128.956,147227,4,1,60
40,0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,153333,4,1,60
41,0.257,0.378,5,-9.61,1,0.0329,0.739,6.12e-05,0.12,0.385,81.541,193853,4,0,60
42,0.611,0.686,0,-10.647,0,0.0508,0.126,0.00129,0.38,0.701,147.076,177973,4,1,60
43,0.653,0.49,0,-10.106,1,0.0408,0.323,4.13e-06,0.0832,0.963,110.202,177773,4,1,60
44,0.203,0.375,0,-8.781,1,0.0346,0.862,4.89e-05,0.137,0.222,71.94,186520,4,1,60
45,0.721,0.137,1,-22.806,1,0.952,0.934,0.0001,0.128,0.495,86.454,106867,4,0,60
46,0.597,0.365,2,-12.031,0,0.0794,0.458,0.0,0.438,0.782,127.97,159133,4,0,60
47,0.559,0.41,9,-13.831,0,0.0495,0.224,0.78,0.0608,0.618,140.173,293147,4,0,60
48,0.475,0.474,3,-13.897,1,0.273,0.488,0.00501,0.0756,0.965,90.467,277013,4,0,60
49,0.763,0.621,2,-9.908,1,0.0374,0.655,0.0,0.158,0.825,103.309,144320,4,1,60
50,0.468,0.756,0,-7.37,1,0.0969,0.619,0.956,0.319,0.718,124.191,166147,4,0,60
51,0.583,0.556,8,-12.165,0,0.0339,0.372,0.0,0.676,0.783,133.215,150373,4,0,60
52,0.611,0.697,9,-8.43,1,0.0437,0.406,0.0,0.24,0.971,139.521,182067,4,0,60
53,0.762,0.496,7,-12.845,0,0.289,0.493,0.0,0.325,0.704,122.049,155121,4,0,60
54,0.603,0.513,1,-7.329,1,0.0582,0.843,0.0,0.357,0.732,121.325,193282,4,0,60
55,0.275,0.241,10,-14.526,1,0.0293,0.805,0.0124,0.135,0.221,80.842,134640,4,1,60
56,0.619,0.625,7,-9.635,1,0.036,0.0119,1.05e-06,0.152,0.467,96.751,181307,4,1,60
57,0.608,0.0113,5,-32.324,1,0.0677,0.934,0.812,0.107,0.15,115.358,175800,4,0,60
58,0.492,0.47,0,-8.732,1,0.0275,0.703,0.0,0.373,0.559,110.284,188307,3,0,60
59,0.728,0.669,9,-8.755,0,0.24,0.857,0.0,0.11,0.862,126.755,111827,3,0,60
60,0.498,0.796,8,-4.882,1,0.0453,0.607,0.0,0.3,0.906,79.648,157027,4,1,60
61,0.24,0.0867,7,-18.238,0,0.0304,0.959,0.95,0.111,0.0371,98.185,97218,4,0,60
62,0.238,0.28,3,-11.502,1,0.0307,0.943,8.26e-05,0.331,0.275,77.224,189800,3,0,60
63,0.402,0.789,9,-6.148,1,0.124,0.891,0.0,0.294,0.949,172.346,139440,4,1,60
64,0.772,0.297,5,-14.679,0,0.053,0.854,7.59e-06,0.125,0.822,119.987,158200,4,1,60
