,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,decade
0,0.45,0.805,11,-8.229,1,0.0684,0.792,2.98e-06,0.417,0.494,138.006,163373,4,23.81117,10,1,1960
1,0.326,0.816,8,-14.825,1,0.0527,0.881,0.326,0.185,0.826,147.213,259267,4,25.73316,13,1,1960
2,0.465,0.357,10,-9.118,1,0.0591,0.744,0.0,0.052,0.78,168.881,182880,3,17.43864,11,0,1960
3,0.435,0.834,10,-10.762,1,0.0415,0.789,0.422,0.932,0.708,114.13,263067,4,17.81915,10,0,1960
4,0.385,0.473,9,-7.723,1,0.0299,0.764,4.58e-05,0.284,0.541,128.592,124400,4,18.86146,8,1,1960
5,0.607,0.517,2,-7.566,1,0.032,0.908,0.0,0.158,0.781,109.659,146560,4,38.92356,8,1,1960
6,0.556,0.742,8,-6.524,1,0.0524,0.612,2.6e-05,0.055,0.771,78.691,149293,4,50.60703,7,1,1960
7,0.52,0.679,3,-5.888,1,0.0259,0.13,1.74e-06,0.0556,0.92,100.974,174627,4,15.87509,8,1,1960
8,0.427,0.218,0,-15.008,1,0.0362,0.787,0.00192,0.111,0.381,76.396,197827,4,38.76896,9,1,1960
9,0.698,0.444,10,-13.35,0,0.0396,0.157,0.414,0.0844,0.522,139.27,487200,5,48.70675,16,0,1960
10,0.364,0.768,9,-10.492,1,0.0757,0.21,0.136,0.503,0.37,130.602,214640,4,31.69431,9,1,1960
11,0.697,0.171,0,-20.599,0,0.913,0.753,0.0,0.45,0.414,107.729,51672,3,13.77127,3,0,1960
12,0.212,0.553,9,-11.411,0,0.037,0.902,0.973,0.265,0.292,81.042,53418,4,16.04562,3,0,1960
13,0.667,0.193,8,-20.192,1,0.0497,0.802,0.0033,0.0589,0.556,95.433,251640,4,22.71353,9,0,1960
14,0.521,0.399,10,-9.445,1,0.0276,0.776,0.0,0.242,0.424,111.051,136507,4,34.58567,7,1,1960
15,0.462,0.215,5,-13.254,1,0.0333,0.918,0.0144,0.218,0.607,101.93,170467,4,51.39551,9,0,1960
16,0.428,0.215,5,-10.983,1,0.0409,0.798,0.0,0.181,0.527,83.262,156120,4,35.89528,7,0,1960
17,0.53,0.51,5,-10.313,1,0.289,0.416,0.0,0.0875,0.864,72.029,173387,3,22.71248,11,0,1960
18,0.659,0.479,0,-9.238,1,0.0428,0.816,0.0,0.198,0.608,97.015,127800,4,91.18482,4,1,1960
19,0.435,0.445,6,-8.314,1,0.0365,0.674,0.000149,0.428,0.66,144.924,301547,3,52.78975,12,0,1960
20,0.695,0.701,1,-3.311,1,0.0562,0.298,0.00171,0.0599,0.931,98.312,430120,4,35.92835,13,1,1960
21,0.506,0.574,0,-11.217,1,0.0434,0.191,0.0,0.6,0.473,139.174,159600,4,27.43295,8,1,1960
22,0.653,0.376,0,-14.969,1,0.0357,0.818,0.336,0.122,0.855,114.273,159867,4,39.27973,8,1,1960
23,0.469,0.523,5,-12.979,1,0.0828,0.228,0.0,0.3,0.781,138.861,165733,4,37.60884,8,1,1960
24,0.217,0.1,0,-15.682,1,0.032,0.979,0.812,0.0733,0.22,100.605,138493,3,44.92841,5,0,1960
25,0.227,0.289,9,-17.323,1,0.0369,0.719,0.873,0.162,0.0273,81.853,427333,4,18.76134,19,0,1960
26,0.669,0.581,10,-6.929,1,0.0616,0.511,0.0,0.222,0.659,135.774,152293,4,33.67283,9,1,1960
27,0.57,0.622,7,-3.704,1,0.038,0.82,0.0,0.113,0.962,115.782,154733,4,19.77723,10,0,1960
28,0.321,0.532,7,-8.865,1,0.0346,0.101,0.751,0.107,0.686,118.986,122400,4,54.82686,5,0,1960
