,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,decade
0,0.417,0.62,3,-7.727,1,0.0403,0.49,0.0,0.0779,0.845,185.655,173533,3,32.94975,9,1,60
1,0.657,0.649,5,-13.392,1,0.038,0.846,4.42e-06,0.119,0.908,115.94,223960,4,37.22663,12,0,60
2,0.521,0.396,5,-12.299,1,0.0463,0.576,0.000893,0.462,0.599,82.628,179600,4,48.36482,8,0,60
3,0.147,0.246,1,-16.997,1,0.0504,0.964,0.115,0.113,0.0387,74.94,464533,4,76.04885,18,0,60
4,0.48,0.225,3,-15.402,1,0.031,0.78,0.0,0.0877,0.58,128.017,217907,4,25.38117,13,1,60
5,0.431,0.551,1,-12.732,1,0.0526,0.885,0.875,0.128,0.64,79.14,219240,4,23.24725,13,0,60
6,0.528,0.493,0,-12.346,1,0.0298,0.414,0.0,0.674,0.888,118.575,156507,4,29.90294,8,0,60
7,0.611,0.686,0,-10.647,0,0.0508,0.126,0.00129,0.38,0.701,147.076,177973,4,97.57327,7,1,60
8,0.597,0.365,2,-12.031,0,0.0794,0.458,0.0,0.438,0.782,127.97,159133,4,53.1298,8,0,60
9,0.763,0.621,2,-9.908,1,0.0374,0.655,0.0,0.158,0.825,103.309,144320,4,33.20734,6,1,60
10,0.611,0.697,9,-8.43,1,0.0437,0.406,0.0,0.24,0.971,139.521,182067,4,36.37854,9,0,60
11,0.728,0.669,9,-8.755,0,0.24,0.857,0.0,0.11,0.862,126.755,111827,3,28.09344,7,0,60
12,0.24,0.0867,7,-18.238,0,0.0304,0.959,0.95,0.111,0.0371,98.185,97218,4,32.00987,6,0,60
13,0.66,0.743,8,-6.881,1,0.0325,0.302,0.0205,0.134,0.96,122.668,155867,4,33.07734,8,1,60
14,0.784,0.508,0,-9.541,0,0.039,0.641,0.508,0.084,0.488,121.314,138493,4,52.50819,7,1,60
15,0.515,0.348,0,-12.457,1,0.0253,0.453,0.000227,0.339,0.266,92.746,185139,4,16.4416,11,1,60
16,0.468,0.102,11,-17.171,1,0.0381,0.995,0.000853,0.166,0.312,165.59,177253,4,36.73757,9,0,60
17,0.304,0.519,8,-8.825,1,0.0359,0.21,0.00187,0.221,0.294,101.289,1119400,4,41.68337,41,0,60
18,0.567,0.539,11,-13.61,1,0.126,0.292,0.0,0.0594,0.933,138.105,144627,4,54.7542,7,0,60
19,0.87,0.546,0,-13.393,1,0.0572,0.247,0.849,0.104,0.929,135.676,211693,4,35.10797,9,0,60
20,0.349,0.208,8,-15.491,1,0.037,0.799,0.217,0.13,0.176,135.098,160267,3,24.0336,11,1,60
21,0.326,0.313,0,-16.17,1,0.0348,0.177,0.000569,0.0828,0.344,76.785,302640,4,33.53011,13,1,60
22,0.211,0.578,7,-5.611,1,0.0465,0.864,0.907,0.11,0.0553,109.781,76933,4,50.55957,4,0,60
23,0.18,0.196,10,-20.103,1,0.0361,0.981,0.217,0.153,0.0621,65.829,311267,4,37.59476,15,0,60
24,0.519,0.38,10,-22.881,0,0.0378,0.384,0.889,0.0659,0.72,112.145,579467,4,41.12642,29,0,60
25,0.587,0.715,3,-5.48,1,0.115,0.482,0.0,0.0976,0.951,155.946,206021,4,67.47362,8,0,60
26,0.719,0.653,2,-11.572,1,0.0305,0.378,0.00364,0.129,0.96,106.718,139907,4,38.28275,9,1,60
27,0.562,0.646,0,-10.697,0,0.0532,0.491,0.0,0.902,0.798,98.019,211091,4,41.66217,7,0,60
28,0.7,0.626,3,-11.611,1,0.0315,0.72,6.55e-05,0.0974,0.964,112.826,148640,4,29.03452,9,1,60
29,0.579,0.554,5,-8.896,1,0.0286,0.084,0.0,0.219,0.491,124.067,177867,4,32.6183,8,1,60
30,0.648,0.539,7,-11.514,0,0.0503,0.836,0.0781,0.146,0.781,131.569,150067,4,87.64104,5,1,60
31,0.394,0.18,9,-15.943,1,0.0355,0.965,0.00826,0.118,0.475,107.516,173773,4,21.89732,12,0,60
32,0.556,0.742,8,-6.524,1,0.0524,0.612,2.6e-05,0.055,0.771,78.691,149293,4,50.60703,7,1,60
33,0.33,0.858,11,-5.134,0,0.0552,0.052,0.0,0.0752,0.923,161.385,122627,4,27.08669,8,1,60
34,0.522,0.0902,0,-22.234,1,0.0279,0.691,0.448,0.116,0.288,95.872,142107,5,38.47753,7,0,60
35,0.633,0.504,1,-11.59,1,0.0437,0.774,3.41e-06,0.284,0.95,123.219,59598,4,35.55979,3,0,60
36,0.438,0.451,4,-8.681,1,0.0263,0.719,0.0,0.116,0.438,102.776,163307,4,29.02095,10,1,60
37,0.387,0.495,9,-8.923,0,0.0283,0.487,0.00814,0.112,0.58,143.993,182640,4,42.23437,9,0,60
38,0.604,0.709,8,-6.377,1,0.158,0.0987,0.0,0.0551,0.907,167.832,137360,4,38.78992,9,1,60
39,0.625,0.52,0,-7.911,1,0.0427,0.741,0.0,0.164,0.759,91.202,117853,4,61.10828,5,0,60
40,0.565,0.549,0,-13.023,1,0.0618,0.583,0.0,0.236,0.769,121.97,123160,4,19.38835,7,0,60
41,0.651,0.172,0,-14.556,1,0.038,0.841,0.000126,0.155,0.445,107.891,147640,3,21.77637,9,1,60
42,0.562,0.715,2,-8.481,1,0.0272,0.522,0.0,0.185,0.908,102.009,157467,4,28.6427,8,1,60
43,0.805,0.473,10,-12.999,1,0.0507,0.24,0.00516,0.177,0.519,124.618,201200,4,23.14466,14,1,60
44,0.304,0.196,10,-20.708,0,0.0524,0.961,0.952,0.948,0.139,133.025,219147,5,31.52418,10,0,60
45,0.593,0.549,7,-6.591,0,0.0279,0.8,0.0,0.118,0.865,109.465,155893,4,37.25066,9,1,60
46,0.645,0.261,10,-16.782,0,0.0395,0.864,0.254,0.113,0.616,80.988,147147,4,34.63427,6,0,60
47,0.71,0.35,5,-10.952,1,0.0989,0.805,0.0,0.0788,0.55,111.743,215960,3,36.08054,11,0,60
48,0.535,0.874,4,-5.698,0,0.0529,0.869,0.0519,0.223,0.944,126.294,189434,4,54.67636,8,0,60
49,0.461,0.644,2,-3.012,1,0.0396,0.65,4.42e-05,0.0809,0.794,128.995,145267,4,53.47052,7,1,60
50,0.708,0.544,6,-7.377,1,0.0503,0.646,0.0,0.121,0.923,135.241,153627,4,35.69264,7,1,60
51,0.445,0.0399,0,-24.696,1,0.0379,0.974,0.343,0.113,0.209,123.197,201973,4,34.70241,12,0,60
52,0.105,0.195,8,-17.114,0,0.0411,0.877,0.886,0.121,0.313,177.895,136013,3,24.3621,9,0,60
53,0.45,0.368,7,-11.057,0,0.0348,0.935,0.00127,0.453,0.91,108.017,214880,4,28.95673,11,0,60
54,0.335,0.185,7,-19.82,1,0.325,0.964,6.15e-06,0.269,0.0905,62.37,130533,3,65.09429,5,0,60
55,0.536,0.577,2,-8.955,1,0.0314,0.574,0.000126,0.162,0.496,120.992,218680,4,40.91106,10,1,60
56,0.529,0.861,11,-10.581,1,0.0784,0.292,0.225,0.314,0.387,96.52,142507,4,30.42861,8,1,60
57,0.766,0.176,3,-20.756,0,0.0945,0.605,2.31e-05,0.0656,0.687,90.404,163373,4,39.08141,8,1,60
58,0.734,0.458,10,-9.193,1,0.0585,0.844,0.00015,0.354,0.9,140.2,175240,4,32.86039,11,0,60
