,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target,decade
0,0.515,0.765,11,-3.515,0,0.124,0.857,0.000872,0.213,0.906,114.617,245600,4,0,1960
1,0.697,0.673,0,-10.573,1,0.0266,0.714,0.919,0.122,0.778,112.117,167667,4,0,1960
2,0.662,0.272,0,-18.883,1,0.0313,0.36,0.228,0.0963,0.591,143.507,134360,4,0,1960
3,0.72,0.624,5,-9.086,0,0.0473,0.795,0.0,0.488,0.887,119.999,160040,4,1,1960
4,0.717,0.565,2,-8.606,0,0.0283,0.451,0.0,0.108,0.961,100.757,134507,4,0,1960
5,0.356,0.45,6,-6.677,1,0.03,0.924,0.000206,0.128,0.313,74.4,172453,4,1,1960
6,0.493,0.666,11,-8.209,1,0.0967,0.041,4.42e-05,0.351,0.519,123.446,357747,4,0,1960
7,0.213,0.0581,8,-22.425,0,0.0487,0.982,0.69,0.167,0.0395,84.048,175453,4,0,1960
8,0.463,0.463,8,-12.178,1,0.0349,0.616,0.00157,0.584,0.811,109.603,69827,4,0,1960
9,0.357,0.216,3,-12.833,1,0.0343,0.767,4.31e-06,0.531,0.283,119.57,222733,4,1,1960
10,0.56,0.821,7,-4.09,1,0.0313,0.0853,0.000215,0.0592,0.793,117.568,148560,4,0,1960
11,0.337,0.172,0,-16.735,1,0.031,0.784,0.000454,0.102,0.106,97.055,131587,4,0,1960
12,0.565,0.358,0,-8.442,0,0.0259,0.579,0.0,0.198,0.535,100.826,155307,4,0,1960
13,0.743,0.398,2,-8.328,0,0.048,0.808,0.0,0.106,0.833,118.568,170827,4,1,1960
14,0.555,0.658,0,-4.487,1,0.0445,0.164,0.0,0.0363,0.44,120.911,77907,4,0,1960
15,0.519,0.422,4,-8.732,1,0.0282,0.864,0.0,0.332,0.803,128.956,147227,4,1,1960
16,0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,153333,4,1,1960
17,0.653,0.49,0,-10.106,1,0.0408,0.323,4.13e-06,0.0832,0.963,110.202,177773,4,1,1960
